sector_AGRICULTURE,sector_EDUCATION,sector_GENERAL,sector_GENERAL COMMERCE,sector_VALUE CHAIN,PRODUCT_GROUP_NAME_Corporate Loans Group,PRODUCT_GROUP_NAME_Current Accounts Group,PRODUCT_GROUP_NAME_HRM Loans Group,PRODUCT_GROUP_NAME_Retail Loans Individual Group,PRODUCT_GROUP_NAME_Small Business Loans Group,FACILITY_TYPE_OVERDRAFT,FACILITY_TYPE_TERM LOAN,ARR_STATUS_CLOSE,ARR_STATUS_CURRENT,ARR_STATUS_EXPIRED,ARR_STATUS_PENDING.CLOSURE,DIRECTORATENAME_COPORATE & INVESTMENT BANKING,DIRECTORATENAME_INSTITUTIONAL BANKING,DIRECTORATENAME_MD,DIRECTORATENAME_RETAIL & CONSUMER BANKING,DIRECTORATENAME_Unknown,Is_Active_loans_Inactive,employment_status_EMPLOYER,employment_status_OTHER,employment_status_SELF-EMPLOYED,employment_status_Unknown,Contract_Amount,CURR_BAL,previous_loans_amount,running_loans_amount,DAYS_TO_MATURITY,DAY_SINCEPAYMENT,INTEREST_RATE,YEAR_LOAN_DURATION,DAYS_RUNNING_SINCE,previous_loans_count,running_loans_count,previous_loan_default_count,Age_at_Inception,Default_status
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.221107601704371,0.24246183348965558,-2.6960217261117436,0.7673008991280111,0.740570685297885,0.17664305844852957,0.046294069755142074,-0.04393314083976387,-0.7488090441734709,-0.8333717951636956,0.23065248430847185,-0.7213602524844772,0.3336555039575653,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1946018425292535,-1.042244764958089,-0.04666431755834043,-1.1026322485068631,0.04351871141722831,0.12136872259570944,1.0510229947650525,-0.04393314083976387,-0.07457903340366866,0.5774746216231544,-0.8349877644239653,0.13700655155100866,-0.46108269239297184,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.47421917602313873,-0.02093185513706969,-0.07678731954817221,-1.1026322485068631,-1.9472924180047924,2.2279096166032284,-1.7622179952626966,1.1876840616851403,3.1548409881513906,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.3391251754634264,-1.463598324093607,-0.17666770384813466,0.6407240381991887,0.03474326228801149,-0.4166334714627947,-1.7622179952626966,0.5718754604226882,1.326523571559404,-0.1279485867702706,0.23065248430847185,-0.7213602524844772,-1.255820888743509,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.833865159741565,-1.0157962840707124,-0.17666770384813466,0.6407240381991887,0.05216353877806248,0.2261933822712395,-1.410562871509228,0.5718754604226882,0.6948125704777874,-0.1279485867702706,0.23065248430847185,-0.7213602524844772,-1.255820888743509,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6694207274521229,-0.1267616224614834,-0.17666770384813466,0.6407240381991887,1.0888801906761194,0.29923991923365334,-1.410562871509228,0.5718754604226882,-0.36411324223274294,-0.1279485867702706,0.23065248430847185,-0.7213602524844772,-1.255820888743509,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.020883213998285,-4.014971069573194,-0.07962253750492536,-1.1026322485068631,0.03250588079346465,-0.7371558564640194,0.4029728381336603,0.5718754604226882,0.6786148525013357,0.34233355215867944,-0.8349877644239653,-0.2921768504667343,-1.0968732494734015,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0202160564331855,-1.975942416920158,-0.1099978705740804,-1.1026322485068631,0.03474326228801149,-1.4115386152435063,0.4029728381336603,0.5718754604226882,0.6907631409836745,0.5774746216231544,-0.8349877644239653,-0.2921768504667343,-1.255820888743509,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.965850682299965,-0.41220417628431943,-0.06995565917264471,-1.1026322485068631,-0.6575754767233014,0.5479151301877548,0.9003136560135658,-0.04393314083976387,0.5146129579897621,-0.36308965623474565,-0.8349877644239653,0.13700655155100866,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.891561795365788,-0.41511861457400034,-0.22851333346913336,-1.1026322485068631,-1.2568313467026304,0.24166430976613695,0.9505501022640613,-0.04393314083976387,0.9721984908245229,-0.36308965623474565,-0.8349877644239653,0.13700655155100866,0.6515507824977802,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.804816279487458,-2.788464873295315,-0.22851333346913336,-1.1026322485068631,-2.9893013237946677,0.24166430976613695,0.9003136560135658,-0.04393314083976387,2.3631775220523137,-0.36308965623474565,-0.8349877644239653,0.13700655155100866,0.6515507824977802,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5187226055403347,-1.333172202598307,-0.09508675215921611,-1.1026322485068631,0.06713016512912463,-0.22422394444188845,2.8595350597828912,-0.04393314083976387,-0.10090032511540269,-0.5982307256992206,-0.8349877644239653,-0.7213602524844772,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.3391251754634264,-1.464007833269413,0.15394930401377763,0.7233672608172039,0.03474326228801149,-0.5331635037935664,-1.7622179952626966,0.5718754604226882,1.326523571559404,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9478277625607419,-1.0471885831040015,0.15394930401377763,0.7233672608172039,0.047852367551057276,-0.7371558564640194,0.4029728381336603,0.5718754604226882,0.662417134524884,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.7676778704299814,-0.4847717088199991,0.15394930401377763,0.7233672608172039,0.03695666159639583,-0.5331635037935664,-1.410562871509228,0.5718754604226882,0.6522935607896017,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.7438179814922525,-0.10525354972425408,0.15394930401377763,0.7233672608172039,1.4229256895537636,-0.7371558564640194,-1.410562871509228,0.5718754604226882,-0.7062900344852853,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.957386463053524,-0.5824269292115742,0.15394930401377763,0.7233672608172039,0.03695666159639583,-0.5331635037935664,0.2522634993821738,0.5718754604226882,0.5814285446426255,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6145332214434832,-0.010443062129837853,0.15394930401377763,0.7233672608172039,1.397295437688116,-0.7371558564640194,0.2522634993821738,0.5718754604226882,-0.744759614679358,1.5180388994810545,1.296292733040909,-0.2921768504667343,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.2079803379838903,-0.3962074719179356,-0.15042800994005884,-1.1026322485068631,-0.4782903128805446,1.5146165390520756,1.0510229947650525,-0.04393314083976387,0.3425122044899628,0.10719248269420442,-0.8349877644239653,-0.2921768504667343,0.8104984217678877,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6145332214434832,-0.44331146293011947,-2.6960217261117436,0.7402496953475066,0.23553644769285928,0.24166430976613695,1.0510229947650525,-0.04393314083976387,-0.2223832099387905,-0.8333717951636956,1.296292733040909,-0.7213602524844772,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.3391251754634264,-1.4575144412350067,0.18169794421241645,0.6626848842485189,0.03474326228801149,-0.4166334714627947,-1.7622179952626966,0.5718754604226882,1.326523571559404,1.5180388994810545,0.23065248430847185,0.13700655155100866,-0.6200303316630793,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5916392477709614,-0.04151683918067865,0.18169794421241645,0.6626848842485189,1.2136331600867383,0.3258100630438422,-0.7574890702527862,0.5718754604226882,-0.48964555655024367,1.5180388994810545,0.23065248430847185,0.13700655155100866,-0.6200303316630793,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.45548630664958595,0.004273818854689783,0.18169794421241645,0.6626848842485189,0.05859785288507373,-0.22422394444188845,-1.7622179952626966,-0.6597417421022159,-0.7488090441734709,1.5180388994810545,0.23065248430847185,0.13700655155100866,-0.6200303316630793,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7438179814922525,-0.4703603927260906,0.18169794421241645,0.6626848842485189,0.039154629272230596,-0.5331635037935664,-1.410562871509228,0.5718754604226882,0.5875026888837949,1.5180388994810545,0.23065248430847185,0.13700655155100866,-0.6200303316630793,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.957386463053524,-1.3758697902748103,-0.2754616083567922,-1.1026322485068631,-0.10462239299589571,-0.22422394444188845,2.2566977047769448,-0.04393314083976387,0.06512628414322731,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3248556984986007,0.822802565641705,0.251785488797729,-1.1026322485068631,-0.002716807608599288,-0.5331635037935664,0.9505501022640613,2.4193012642100444,3.173063420874899,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3438635389470286,2.4840739759480366,-2.6960217261117436,1.857864641354292,9.617972642565327,0.2261933822712395,-0.8579619627537772,11.656430283146825,3.9606774574798633,-0.8333717951636956,1.296292733040909,-0.7213602524844772,-0.14318741385275696,0
